codice-isil;codice-sbn;denominazione;indirizzo;frazione;cap;comune;codice istat comune;provincia;regione;codice istat provincia;latitudine;longitudine;telefono;fax;email;url
IT-CA0084;USS34;Biblioteca comunale;via Nora 1;;09010;Decimoputzu;111013;Sud Sardegna;SARDEGNA;111;39,338415;8,9200558;070-965635070-96329224;;biblioteca@comune.decimoputzu.ca.it;
IT-CA0085;CAG5D;Biblioteca comunale G. Pellegrini;piazza Giovanni Leccis 1;;09015;Domusnovas;111016;Sud Sardegna;SARDEGNA;111;39,3203735;8,6508134;0781-70326;+39 078172339;biblioteca.comunale@comune.domusnovas.ci.it;
IT-CA0087;;Biblioteca comunale;Via Vittorio Emanuele 202;;09010;Fluminimaggiore;111021;Sud Sardegna;SARDEGNA;111;39,4356787483517;8,49936145554193;+39 07815850213;+39 0781580519;info@comune.fluminimaggiore.ca.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0087
IT-CA0088;;Biblioteca comunale;Via Madre Teresa di Calcutta, 1;;09040;Furtei;111022;Sud Sardegna;SARDEGNA;111;39,565289;8,9448211;+39 0709302753;;biblioteca@comune.furtei.ca.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0088
IT-CA0089;;Biblioteca comunale;Via Umberto 11;;09020;Gesturi;111027;Sud Sardegna;SARDEGNA;111;39,2154583;9,1092282;+39 0709369359;+39 0709369379;bibliogesturi@gmail.com;
IT-CA0091;CAG5B;Biblioteca comunale;Via Principe di Piemonte 135;;09010;Giba;111028;Sud Sardegna;SARDEGNA;111;39,0686643;8,62717;+39 0781964980;+39 0781964980;biblioteca.giba@sbis.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0091
IT-CA0092;CAG7G;Biblioteca comunale;Via Ezzelino Pilia;;09040;Goni;111029;Sud Sardegna;SARDEGNA;111;39,5790787;9,2887504;+39 070982165;+39 070982165;biblioteca.goni@tiscali.it;
IT-CA0094;CAG5G;Biblioteca comunale;Piazza del Minatore;;09010;Gonnesa;111030;Sud Sardegna;SARDEGNA;111;39,265473;8,471621;+39 0781469007;+39 0781469007;bibliotecagonnesa@tiscali.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0094
IT-CA0095;USS65;Biblioteca comunale;via Gramsci 19/21;;09035;Gonnosfanadiga;111031;Sud Sardegna;SARDEGNA;111;39,4926095;8,6611158;070-9795260;;biblioteca@comune.gonnosfanadiga.ca.it;
IT-CA0096;USS06;Biblioteca comunale;piazza Don Eugenio Pisano, 10;;09040;Guamaggiore;111032;Sud Sardegna;SARDEGNA;111;39,5671151;9,0732942;+39 070985451;+39 070985979;biblio2.guamaggiore@tiscali.it;https://egov7.halleysardegna.com/guamaggiore/zf/index.php/servizi-aggiuntivi/index/index/idtesto/1
IT-CA0097;USS07;Biblioteca comunale;piazza Alcide De Gasperi, 2;;09040;Guasila;111033;Sud Sardegna;SARDEGNA;111;39,5609112;9,0437043;+39 0709837044;+39 070986005;segreteria@comune.guasila.ca.it;https://www.comuneguasila.it/index.php/vivere/cultura/19
IT-CA0098;USS66;Biblioteca comunale Sergio Atzeni;Via San Nicolò 9;;09036;Guspini;111034;Sud Sardegna;SARDEGNA;111;39,2154583;9,1092282;+39 0709760601 / 0709760602;+39 070972366;biblioteca@comune.guspini.su.it;
IT-CA0099;;Biblioteca comunale Nicolo' Canelles;Via Gramsci 11;;09016;Iglesias;111035;Sud Sardegna;SARDEGNA;111;39,312096;8,535481;+39 078141795 / 0781274600;+39 078141795;biblioteca@comune.iglesias.ca.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0099
IT-CA0100;PBEG8;Biblioteca diocesana di Iglesias;via Tenente Cacciarru, 1;;09016;Iglesias;111035;Sud Sardegna;SARDEGNA;111;39,3081623;8,5342763;+39 0781.259150;;bibliodiocesiglesias@tiscali.it;
IT-CA0101;;Biblioteca comunale;via Adua, 4;;09022;Lunamatrona;111038;Sud Sardegna;SARDEGNA;111;39,6513149;8,898512;+39 070939670;+39 070939678;biblioteca@comune.lunamatrona.ca.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0101
IT-CA0102;CAG1M;Biblioteca comunale E. Pisano;via Canonico Dessì snc;;09040;Mandas;111039;Sud Sardegna;SARDEGNA;111;39,6557973;9,1292773;070-984753;+39 07098780226;biblioteca.mandas@tiscali.it;
IT-CA0104;USS08;Biblioteca comunale G. Deledda;via San Pietro 1;;09023;Monastir;111041;Sud Sardegna;SARDEGNA;111;39,3846691;9,0461549;070-9168014;+39 07091670227;pubblicaistruzione@comune.monastir.ca.it;
IT-CA0105;CAGMU;Biblioteca comunale;Piazza Italia 5;;09010;Musei;111043;Sud Sardegna;SARDEGNA;111;39,30173;8,67052790000002;+39 078170452;+39 078170452;biblioteca_musei@tiscali.it;
IT-CA0106;;Biblioteca comunale;Vico I Marconi;;09010;Narcao;111044;Sud Sardegna;SARDEGNA;111;39,1674363;8,67645149999999;+39 0781958027;+39 0781958275;biblioteca@comune.narcao.ci.it;
IT-CA0108;CAG5X;Biblioteca comunale;via Cagliari, 65;;09010;Nuxis;111049;Sud Sardegna;SARDEGNA;111;39,1552228;8,7401798;+39 0781957013;+39 0781957484;bibliotecanuxis@tiscali.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0108
IT-CA0110;USS67;Biblioteca comunale;via Su Rieddu 2;;09030;Pabillonis;111052;Sud Sardegna;SARDEGNA;111;39,59485;8,720525;070-9353957;+39 0709353260 (Comune);biblioteca.pabillonis@gmail.com;
IT-CA0111;CAGQ5;Biblioteca comunale;Via Cristoforo Colombo 27;;09010;Perdaxius;111054;Sud Sardegna;SARDEGNA;111;39,1615775;8,6112961;+39 0781952809;+39 0781952809;biblioteca.perdaxius@sbis.it;
IT-CA0112;USS10;Biblioteca comunale;Via Muratori 3;;09020;Pimentel;111055;Sud Sardegna;SARDEGNA;111;39,484029;9,0658399;+39 0700956517;+39 0709800340;biblioteca.pimentel@gmail.com;
IT-CA0114;CAG5S;Biblioteca comunale;via Galilei 1;;09010;Portoscuso;111057;Sud Sardegna;SARDEGNA;111;39,2066151;8,3808017;0781-5096050781-5111440;+39 0781508728;biblioteca.portoscuso@sbis.it;
IT-CA0116;CAG8E;Biblioteca Centrale;Via Dante, 68;;09045;Quartu Sant'Elena;092051;Cagliari;SARDEGNA;092;39,2443231;9,1842623;+39 070888064;+39 070888064;bibliocentrale@comune.quartusantelena.ca.it;
IT-CA0117;USS12;Biblioteca comunale;via Nuoro 4;;09020;Samatzai;111060;Sud Sardegna;SARDEGNA;111;39,4833024;9,0356955;070-910621;+39 070910635;bibliotecasamatzai@gmail.com;
IT-CA0118;CAG7L;Biblioteca comunale;via Eleonora d'Arborea 14;;09040;San Basilio;111061;Sud Sardegna;SARDEGNA;111;39,5393366;9,1979309;070-9805440;+39 0709805284;bibliotecasanbasilio@tiscali.it;
IT-CA0120;USS68;Biblioteca comunale;Via Leonardo da Vinci;;09037;San Gavino Monreale;111062;Sud Sardegna;SARDEGNA;111;39,5504509;8,7866037;+39 0709339071;;info@bibliotecadisangavino.net;
IT-CA0121;CAG5E;Biblioteca comunale;via Mazzini;;09010;San Giovanni Suergiu;111063;Sud Sardegna;SARDEGNA;111;39,1121759;8,5205338;0781-6999344;+39 07816999313;ufficio.culturasport@comune.sangiovannisuergiu.ci.it;
IT-CA0123;USS40;Biblioteca comunale;via XI Febbraio;;09026;San Sperate;111065;Sud Sardegna;SARDEGNA;111;39,36044887588207;9,002142097236637;070-9601873;;biblioteca@sansperate.net;https://www.sansperate.net/area-istituzionale/aree-tematiche/biblioteca-comunale.html
IT-CA0124;CAG7V;Biblioteca comunale G. Deledda;via Aldo Moro 50;;09040;San Vito;111066;Sud Sardegna;SARDEGNA;111;39,4421948;9,5424515;070-9929191;+39 0709927971;bibliotecasvito@gmail.com;
IT-CA0125;;Biblioteca comunale;presso Polo culturale e dell'Alta Formazione - edificio Ex Scolopi Parco S'Arei;;09025;Sanluri;111067;Sud Sardegna;SARDEGNA;111;39,56358;8,89802;+39 0709383400;+39 0709383226;biblioteca.comune.sanluri@gmail.com;
IT-CA0126;CAG7F;Biblioteca comunale;Via Garibaldi 26;;09040;Sant'Andrea Frius;111069;Sud Sardegna;SARDEGNA;111;39,4780554;9,1695794;+39 0709803496;+39 0709803537;bibliotecasantandreafrius@gmail.com;
IT-CA0127;CAG5A;Biblioteca comunale;via Giudice Mariano snc;;09010;Sant'Anna Arresi;111070;Sud Sardegna;SARDEGNA;111;39,0043814310283;8,64313884763794;0781-966042;+39 0781966042;biblioteca@comune.santannaarresi.ca.it;
IT-CA0128;CAG5N;Biblioteca comunale I Sufeti;piazza De Gasperi 11;;09017;Sant'Antioco;111071;Sud Sardegna;SARDEGNA;111;39,069547;8,45086200000003;0781-83132;+39 07818030275;biblioteca.santantioco@sbis.it;
IT-CA0129;CAG5T;Biblioteca comunale;Via Vittorio Veneto 8;;09010;Santadi;111068;Sud Sardegna;SARDEGNA;111;39,0932741;8,71654269999999;+39 0781955180;+39 0781955180;biblioteca.santadi@sbis.it;www.sbis.it/le-biblioteche/biblioteca-santadi.html
IT-CA0130;USS71;Biblioteca comunale;via Manzoni 7;;09030;Sardara;111072;Sud Sardegna;SARDEGNA;111;39,615605;8,81763;070-9387559;+39 0709386111;bibliosardara@libero.it;
IT-CA0132;CAGSH;Biblioteca comunale;via Cagliari 59;;09018;Sarroch;092066;Cagliari;SARDEGNA;092;39,0691772;9,0107127;070-900435;;marcella.usai@comune.sarroch.ca.it;
IT-CA0133;CAGS8;Biblioteca comunale;via Sant'Olimpia, 31;;09047;Selargius;092068;Cagliari;SARDEGNA;092;39,25767430000001;9,169188199999999;070-8592601070-8592603;;info@biblioselargius.it;http://www.biblioselargius.it
IT-CA0134;USS13;Biblioteca comunale;via Umberto Daga, 4;;09040;Selegas;111074;Sud Sardegna;SARDEGNA;111;39,569988;9,104528;+39 070985828;+39 070985785;biblioteca.selegas@tiscali.it;http://www.comune.selegas.ca.it/selegas/zf/index.php/servizi-aggiuntivi/index/index/idtesto/12
IT-CA0136;USS15;Biblioteca comunale A. Saba;Piazza Gruxi 'e ferru 3;;09040;Serdiana;111076;Sud Sardegna;SARDEGNA;111;39,3730639;9,157212099999999;070-743745;;biblioteca@comune.serdiana.ca.it;www.comune.serdiana.ca.it/index.php/biblioteca.html
IT-CA0137;USS17;Biblioteca comunale;Via Roma 65;;09040;Settimo San Pietro;092075;Cagliari;SARDEGNA;092;39,2901674;9,1844904;+39 070766366;+39 070766366;biblioteca@comune.settimosanpietro.ca.it;
IT-CA0138;;Biblioteca comunale;viale Europa 20;;09020;Siddi;111083;Sud Sardegna;SARDEGNA;111;39,6719256;8,891176;070-9340233;+39 070939116;bibliotecasiddi2010@tiscali.it;
IT-CA0139;USS36;Biblioteca comunale;via Di Vittorio 16;;09010;Siliqua;111084;Sud Sardegna;SARDEGNA;111;39,3000114;8,8113585;0781-73423;+39 0781 7801225;biblioteca@comune.siliqua.ca.it;
IT-CA0140;CAG7S;Biblioteca comunale E. Porru;via Rinascita 42/A;;09040;Silius;111085;Sud Sardegna;SARDEGNA;111;39,5171336;9,2943783;070-959080;+39 070959287;biblioteca.silius@tiscali.it;
IT-CA0141;USS18;Biblioteca comunale G. Dessì;piazza 29 Luglio 1927 2;;09040;Siurgus Donigala;111086;Sud Sardegna;SARDEGNA;111;39,5985501;9,1864189;070-989279;+39 070989111;bibliosiurgus@tiscali.it;
IT-CA0142;USS20;Biblioteca comunale;via Gramsci 12/A;;09040;Suelli;111088;Sud Sardegna;SARDEGNA;111;39,5351131;9,1540265;070-988256;+39 070988353;bibliotecasuelli@gmail.com;
IT-CA0143;CAG5U;Biblioteca comunale G. Deledda;piazza Parrocchia snc;;09019;Teulada;111089;Sud Sardegna;SARDEGNA;111;38,9686264;8,7744715;0709271230;+39 0709271230;biblioteulada@tiscali.it;
IT-CA0145;CAG5R;Biblioteca comunale;piazza Matteotti 19;;09010;Tratalias;111090;Sud Sardegna;SARDEGNA;111;39,1027921;8,5780234;0781-697023;+39 0781688283;biblioteca.tratalias@sbis.it;
IT-CA0146;;Biblioteca comunale Zaccaria Tuveri;Via Campidano 7;;09029;Tuili;111091;Sud Sardegna;SARDEGNA;111;39,715;8,9608333;+39 0702359753;;biblioteca.tuili@tiscali.it;
IT-CA0148;;Biblioteca comunale;piazza Prazza de corti 1;;09020;Villamar;111097;Sud Sardegna;SARDEGNA;111;39,613431;8,954903;070-93069318;+39 0709306017;biblioteca.villamar@tiscali.it;
IT-CA0149;;Biblioteca comunale;via Umberto I 6;;09020;Villanovaforru;111100;Sud Sardegna;SARDEGNA;111;39,63299;8,864465;070-9331012;+39 07093451250;biblioteca@comune.villanovaforru.ca.it;
IT-CA0150;CAG7P;Biblioteca comunale E. Melis;via Nazionale 166/A;;09040;Villaputzu;111103;Sud Sardegna;SARDEGNA;111;39,4374013;9,5807064;070-997287;+39 070997075;biblioteca@comune.villaputzu.ca.it;
IT-CA0151;CAGS7;Biblioteca comunale;corso Repubblica 50;;09040;Villasalto;111104;Sud Sardegna;SARDEGNA;111;39,4922869;9,3908421;070-9560007;;biblioteca.villasalto@gmail.com;
IT-CA0152;USS38;Biblioteca comunale;Via Brundu (piazza del Convento);;09034;Villasor;111106;Sud Sardegna;SARDEGNA;111;39,3790163;8,9410613;+39 0702358492;+39 0709647331;bcvillasor@hotmail.it;http://www.comune.villasor.ca.it/info/bib.htm
IT-CA0153;USS39;Biblioteca comunale;piazza Croce Santa 6;;09010;Villaspeciosa;111107;Sud Sardegna;SARDEGNA;111;39,3130151;8,9272996;070-9339039;+39 0709639540;biblioteca@comune.villaspeciosa.ca.it;
IT-CA0155;USS32;Biblioteca comunale;via Cagliari 16;;09032;Assemini;092003;Cagliari;SARDEGNA;092;39,2875299;9,0047552;070-949400;+39 070949407;biblioteca@comune.assemini.ca.it;
IT-CA0156;CAGPR;Biblioteca Metropolitana Emilio Lussu;Via Cadello 9/b;;09121;Cagliari;092009;Cagliari;SARDEGNA;092;39,225513;9,119417;+39 0704092901;+39 0704092902;biblioteca@cittametropolitanacagliari.it;
IT-CA0159;CAGSA;Biblioteca regionale;viale Trieste 137;;09123;Cagliari;092009;Cagliari;SARDEGNA;092;39,2213954;9,1027329;070-6064574;+39 0706064590;pi.biblioteca.regionale@regione.sardegna.it ;
IT-CA0163;USS42;Biblioteca comunale G. Solinas;via Di Vittorio 31/A;;09038;Serramanna;111077;Sud Sardegna;SARDEGNA;111;39,4228305;8,9226626;070-9138834;+39 0709138834;biblioteca@comune.serramanna.ca.it;
IT-CA0164;CAGSE;Biblioteca comunale Ranieri Ugo;Via Roma 35;;09028;Sestu;092074;Cagliari;SARDEGNA;092;39,3020572;9,0917222;+39 070260551/262291;+39 070262291;bibliosestu@comune.sestu.ca.it;
IT-CA0165;;Biblioteca comunale;piazza Municipio 2;;09048;Sinnai;092080;Cagliari;SARDEGNA;092;39,3020061;9,2022957;070-782241;+39 070781412;biblioteca@comune.sinnai.ca.it;
IT-CA0166;USS73;Biblioteca comunale Antonio Gramsci;Via Regione Sarda 65;;09039;Villacidro;111096;Sud Sardegna;SARDEGNA;111;39,45889280000001;8,73960390000002;+39 0709316551;;bibliovl@tiscali.it;
IT-CA0167;CAGFP;Biblioteca del Distretto delle scienze sociali, economiche e giuridiche - Sezione scienze politiche - Università degli studi di Cagliari;Viale S. Ignazio, 80;;09123;Cagliari;092009;Cagliari;SARDEGNA;092;39,2234463;9,1109333;+39 0706753708;+39 0706753710;biblioteca.sp@unica.it;https://www.unica.it/unica/it/sba_scienze_politiche.page
IT-CA0190;USS14;Biblioteca comunale;via Piemonte;;09040;Senorbì;111075;Sud Sardegna;SARDEGNA;111;39,5362777;9,1312777;070-980121;;azanetti@comune.senorbi.ca.it;
IT-CA0191;USS05;Biblioteca comunale;via Vittorio Emanuele III, 5;;09040;Gesico;111026;Sud Sardegna;SARDEGNA;111;39,6151341;9,1068658;+39 0709877013;+39 070987239;bibliotecario@gmail.com;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0191
IT-CA0192;USS37;Biblioteca comunale;Via Salvo d'Acquisto;;09010;Vallermosa;111095;Sud Sardegna;SARDEGNA;111;39,3632085;8,79544480000004;+39 07811861171;+39 078179293;bibliovallermosa@virgilio.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0192
IT-CA0193;;Biblioteca comunale;via Marco Polo, 8;;09040;Ortacesus;111051;Sud Sardegna;SARDEGNA;111;39,5383522;9,0850112;+39 0709804011;;ortacesusca@tiscali.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0193
IT-CA0194;CAGUC;Biblioteca universitaria di Cagliari;Via Università 32;;09124;Cagliari;092009;Cagliari;SARDEGNA;092;39,2172782171541;9,11521079510658;+39 070661021;+39 070652672;bu-ca.ufficioprestito@beniculturali.it;http://www.buca.beniculturali.it
IT-CA0195;CAGOA;Biblioteca dell'Istituto nazionale di astrofisica - INAF Osservatorio astronomico di Cagliari;via DELLA SCIENZA 5;;09047;Selargius;092068;Cagliari;SARDEGNA;092;39,1450119;8,9720944;07071180221;+39 07071180222;denotti@oa-cagliari.inaf.it;www.oa-cagliari.inaf.it
IT-CA0196;;Biblioteca-Mediateca dell'Archivio pubblico arti musica e spettacolo (APAMS);via Ennio Porrino, 5;;09032;Assemini;092003;Cagliari;SARDEGNA;092;39,2940805;8,9946942;+39 070944908;+39 070944908;arkamax@tiscali.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0196
IT-CA0198;USS02;Biblioteca comunale;via Guglielmo Marconi, 48;;09040;Barrali;111004;Sud Sardegna;SARDEGNA;111;39,4771941;9,1007028;+39 0709802522;;bibliotecabarrali@tiscali.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0198
IT-CA0199;;Biblioteca comunale;via Municipio 6;;09040;Burcei;111007;Sud Sardegna;SARDEGNA;111;39,3451763;9,3588719;070-739194;+39 070739194;bibliotecaburcei@tiscali.it;
IT-CA0200;CAGCT;Biblioteca comunale Sergio Atzeni;vico I° del Popolo, 2;;09012;Capoterra;092011;Cagliari;SARDEGNA;092;39,174725;8,968181999999999;+39 070720308;;bibliotecacapoterra@tiscali.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0200
IT-CA0201;CAG7M;Biblioteca comunale;via Marconi 71;;09043;Muravera;111042;Sud Sardegna;SARDEGNA;111;39,4195503;9,57770070000004;070-9932033;+39 0709932033;biblio.muravera@tiscali.it;
IT-CA0202;USS03;Biblioteca comunale;piazza Europa;;09041;Dolianova;111014;Sud Sardegna;SARDEGNA;111;39,375335;9,175885;070-743413;;biblioteca@comune.dolianova.ca.it;
IT-CA0203;USS04;Biblioteca comunale Universo;via Einaudi 6;;09040;Donori;111017;Sud Sardegna;SARDEGNA;111;39,432909;9,1278666;070-981376;+39 070981542;biblioteca@comune.donori.ca.it;
IT-CA0204;;Biblioteca comunale;via Manzoni 3;;09020;Las Plassas;111037;Sud Sardegna;SARDEGNA;111;39,6814777;8,9841589;070-9364685;+39 0709364606 (Comune);biblioteca.lasplassas@tiscali.it;
IT-CA0205;CAGM5;Biblioteca comunale;via Roma 76;;09010;Masainas;111040;Sud Sardegna;SARDEGNA;111;39,0506111;8,6276736;0781-978002;+39 07819611222;biblioteca.masainas@sbis.it;
IT-CA0206;;Biblioteca comunale;via Cagliari, 9;;09020;Pauli Arbarei;111053;Sud Sardegna;SARDEGNA;111;39,66046679999999;8,9214673;+39 0709341040;;bibliopauli@tiscali.it;https://www.comune.pauliarbarei.su.it/it/biblioteca-comunale/
IT-CA0207;CAG8Q;Biblioteca comunale F. Sanna Sulis;via Nazionale 119;;09044;Quartucciu;092105;Cagliari;SARDEGNA;092;39,2538471;9,1794583;070-85954255;+39 07085954247;bibliotecaquartucciu@tiscali.it;
IT-CA0208;CAG7N;Biblioteca comunale;via Umberto I 39;;09040;San Nicolò Gerrei;111064;Sud Sardegna;SARDEGNA;111;39,497125;9,3058009;070-950096;+39 0709509128;biblioteca@comune.sannicologerrei.ca.it;
IT-CA0209;;Biblioteca comunale;via Dante 43;;09040;Segariu;111073;Sud Sardegna;SARDEGNA;111;39,5638191;8,981674;070-9302900;;bibliotecasegariu@tiscali.it;
IT-CA0210;USS16;Biblioteca comunale;via Gavino Fara;;09027;Serrenti;111078;Sud Sardegna;SARDEGNA;111;39,491863130662125;8,977200634918216;+39 0709159155;+39 0709159791;biblio.serrenti@tiscali.it;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0210
IT-CA0211;USS01;Biblioteca comunale;Via Chiesa 7 - Locali ex-Montegranatico;;09020;Ussana;111093;Sud Sardegna;SARDEGNA;111;39,3952354;9,07552829999997;+39 07091894336;+39 07091894325;biblioteca@comune.ussana.ca.it;http://www.comune.ussana.ca.it/?pagina=4&ufficio=28
IT-CA0212;;Biblioteca comunale;piazza Giovanni XXIII 1;;09049;Villasimius;111105;Sud Sardegna;SARDEGNA;111;39,1435461;9,5227083;070-7930232;;biblioteca@comune.villasimius.ca.it;http://www.villasimiusweb.com/biblioteca.asp
IT-CA0213;CAGRO;Centro di documentazione ed educazione della Cooperativa Passaparola;Via Brianza 10 Centro di Quartiere “StraKrash” (ex scuola materna di Bingia Matta);;09128;Cagliari;092009;Cagliari;SARDEGNA;092;39,2341322;9,10277689999998;+39 070 9190930;+39 070 4520047;coop.passaparola@tiscali.it;
IT-CA0214;CAGDN;BIBLIOTECA DEL CENTRO DI DOCUMENTAZIONE E STUDI DELLE DONNE;via FALZAREGO 35;;09123;Cagliari;092009;Cagliari;SARDEGNA;092;39,2267896;9,10276520000002;070666882;+39 070652412;tarantolacoopera@tiscali.it;http://www.cdsdonnecagliari.it/
IT-CA0232;CAGMI;Biblioteca del Distretto tecnologico - Sezione Matematica e informatica dell'Università degli studi di Cagliari;Via Ospedale 72;;09124;Cagliari;092009;Cagliari;SARDEGNA;092;39,2224115;9,114043400000014;+39 0706758613;;bibliomat@unica.it;https://www.unica.it/unica/it/sba_tec_mi.page
IT-CA0236;;Biblioteca dell'Associazione culturale italo-tedesca. ACIT;via Palomba 64;;09128;Cagliari;092009;Cagliari;SARDEGNA;092;39,2175288;9,128633;+3907042965;;acitcagliari@tiscali.it;www.acitcagliari.it
IT-CA0237;;Biblioteca comunale V. Porru;piazza Risorgimento 17;;09020;Villanovafranca;111101;Sud Sardegna;SARDEGNA;111;39,6444173;9,0036218;070-9371046;+39 0709367253;biblio.vfranca@tiscali.it;
IT-CA0239;USS44;Monserratoteca;via Porto Cervo snc;;09042;Monserrato;092109;Cagliari;SARDEGNA;092;39,2574946;9,1345462;070-5792706070-5792707;+39 0705792708;info@monserratoteca.it;http://www.monserratoteca.it
IT-CA0240;CAGCP;Biblioteca comunale di Pirri;via Santa Maria Goretti 63;Pirri;09134;Cagliari;092009;Cagliari;SARDEGNA;092;39,2520327;9,1256147;070-6773815;;bibliotecapirri@comune.cagliari.it;
IT-CA0241;CAGF5;Biblioteca comunale;lungomare Cristoforo Colombo 1;;09011;Calasetta;111008;Sud Sardegna;SARDEGNA;111;39,1122728;8,36867640000003;0781-88378;+39 078188378;bib.calasetta@tiscali.it;
IT-CA0243;USS09;Biblioteca comunale;Piazza Chiesa 2;;09024;Nuraminis;111047;Sud Sardegna;SARDEGNA;111;39,444074;9,0157962;+39 0707761168;;biblioteca.nuraminis.ca@gmail.com;
IT-CA0244;CAGPU;Biblioteca comunale;P.zza del Popolo;;09010;Pula;092050;Cagliari;SARDEGNA;092;39,0086111;9,0026666;+39 3400727469;+39 0709253346;bibliotecacomunaledipula@gmail.com;
IT-CA0245;USS11;Biblioteca comunale;via Vittorio Veneto 40;;09030;Samassi;111059;Sud Sardegna;SARDEGNA;111;39,4827043;8,9072744;070-9382006;+39 0700993191;biblioteca.comunale@comune.samassi.ca.it;
IT-CA0246;;Biblioteca comunale M. Marchesi;via Antoni Tomasu snc;;09029;Setzu;111080;Sud Sardegna;SARDEGNA;111;39,7240276;8,9388639;070-9364665;;biblioteca.setzu@tiscali.it;
IT-CA0247;USS19;Biblioteca comunale;Via Sirios;;09040;Soleminis;111087;Sud Sardegna;SARDEGNA;111;39,346687;9,181098;+39 070749506;;biblioteca.soleminis@gmail.com;
IT-CA0248;;Biblioteca comunale Casa Ortensia;piazza Martiri 22;;09020;Turri;111092;Sud Sardegna;SARDEGNA;111;39,70509;8,917596;0783-95021;;bibliotecaturri@tiscali.it;
IT-CA0249;CAGBU;Biblioteca comunale;via Argiolas Mannas;;09010;Uta;092090;Cagliari;SARDEGNA;092;39,2946918;8,958858;070-9661043;;pioggiadilibri@tiscali.it;http://www.comune.uta.ca.it/uta/po/mostra_news.php?id=2024&area=H
IT-CA0250;CAGSP;Biblioteca comunale;Via Roma 9;Villa San Pietro;09010;Villa San Pietro;092099;Cagliari;SARDEGNA;092;39,0339867054894;8,99495053495298;+39 070907076;+39 070907076;biblioteca.vsp@tiscali.it;http://www.comune.villasanpietro.ca.it/index.php?option=com_content&view=article&id=64&Itemid=113
IT-CA0259;CAGAA;Biblioteca del Distretto delle scienze umane - Sezione Cittadella dei musei - Università degli studi di Cagliari;Piazza Arsenale 1 - Cittadella dei musei;;09124;Cagliari;092009;Cagliari;SARDEGNA;092;39,2223882;9,116664799999999;+39 0706757619;;cittadella.su@unica.it;https://www.unica.it/unica/it/sba_scium_cittadella_musei.page
IT-CA0260;CAGOC;Biblioteca Scienze Sociali della Città Metropolitana di Cagliari;Via Cadello 9/B;;09121;Cagliari;092009;Cagliari;SARDEGNA;092;39,2350114;9,1121074;+39 0704092575;;biblioteca.sociale@cittametropolitanacagliari.it;
IT-CA0261;;Biblioteca del Distretto Biomedico scientifico - Sezione di via Ospedale - Sottosezione San Giovanni di Dio - Università degli studi di Cagliari;Via Ospedale 46, c/o Osedale San Giovanni di Dio, 1° piano;;09124;Cagliari;092009;Cagliari;SARDEGNA;092;39,2195309;9,1119172;+39 0706093454;+39 0706093454;gfantola@unica.it;
IT-CA0268;CAGBL;Biblioteca del Servizio beni librari della Regione autonoma della Sardegna;viale Trieste, 137;;09123;Cagliari;092009;Cagliari;SARDEGNA;092;39,22155221077903;9,104589629113784;+39 0706064542;+39 0706064590;pi.biblioteca.regionale@regione.sardegna.it ;http://www.sardegnabiblioteche.it/index.php?xsl=839&s=2&v=9&c=5670&codice=IT-CA0268
IT-CA0281;;Biblioteca del Distretto Biomedico scientifico - Sezione di via Ospedale - Sottosezione complesso pediatrico - Università degli studi di Cagliari;Via Porcell 3;;09124;Cagliari;092009;Cagliari;SARDEGNA;092;39,2219298;9,1144502;+39 0706093454;+39 0706093454;gfantola@unica.it;
IT-CA0293;;Biblioteca del gruppo archeologico NEAPOLIS;Via Roma 46, presso il Deposito archeologico comunale;;09036;Guspini;111034;Sud Sardegna;SARDEGNA;111;39,539318;8,631052;+39 070972454;+39 070970180;;
IT-CA0296;CAGSI;Biblioteca dell'Istituto storico Giuseppe Siotto;Via dei Genovesi 114;;09124;Cagliari;092009;Cagliari;SARDEGNA;092;39,2197191;9,115666499999975;+39 070682384;;info@fondazionegiuseppesiotto.org;www.fondazionegiuseppesiotto.org
